name,ID,Z
manga-10843-12703,1-1037,0.03903000056743622
manga-8078-12704,1-109073,0.0435900017619133
manga-8078-1901,1-109112,0.024970000609755516
manga-8078-1902,1-109167,0.024630000814795494
manga-9193-1901,1-109234,0.04092999920248985
manga-11836-1901,1-1093,0.032189998775720596
manga-12685-12701,1-109679,0.0515500009059906
manga-11836-12705,1-1151,0.04464999958872795
manga-12083-1902,1-116700,0.036890000104904175
manga-12085-1901,1-116972,0.03894999995827675
manga-12085-9102,1-116989,0.027650000527501106
manga-12085-6103,1-117014,0.027060000225901604
manga-12085-3702,1-117026,0.03822999820113182
manga-12084-3701,1-117104,0.02717999927699566
manga-12084-12701,1-117122,0.03840000182390213
manga-12085-6101,1-117381,0.03553999960422516
manga-12085-3701,1-117388,0.03579000011086464
manga-12085-12703,1-117465,0.036410000175237656
manga-12087-12704,1-117663,0.03993000090122223
manga-12090-6102,1-117936,0.04094000160694122
manga-8621-6104,1-117938,0.040860000997781754
manga-12088-12705,1-117946,0.026000000536441803
manga-12090-1901,1-117981,0.02638000063598156
manga-12087-6101,1-118034,0.039570000022649765
manga-12088-9101,1-118083,0.0407399982213974
manga-8622-6103,1-118178,0.04340000078082085
manga-12089-6103,1-118217,0.043800000101327896
manga-12090-12703,1-118223,0.04022999852895737
manga-8622-12703,1-118238,0.040139999240636826
manga-12090-12702,1-118337,0.04016999900341034
manga-12089-3703,1-118369,0.041999999433755875
manga-12089-12703,1-118444,0.04574999958276749
manga-8621-3704,1-118480,0.0419900007545948
manga-11836-1902,1-1243,0.03246000036597252
manga-11836-3701,1-1258,0.04470999911427498
manga-11836-3702,1-1278,0.04515000060200691
manga-12490-9102,1-138167,0.03922000154852867
manga-12490-12702,1-138298,0.0392800010740757
manga-12490-12704,1-138401,0.0405299998819828
manga-12489-1901,1-139929,0.017680000513792038
manga-11834-12704,1-14151,0.044610001146793365
manga-11834-12703,1-14162,0.042729999870061874
manga-11958-6102,1-144455,0.02263999916613102
manga-11958-3702,1-144478,0.023099999874830246
manga-11958-1901,1-144884,0.024240000173449516
manga-11958-3703,1-144889,0.024380000308156013
manga-8623-1901,1-178794,0.0508899986743927
manga-7963-3704,1-178894,0.05285000056028366
manga-8651-3704,1-178894,0.05285000056028366
manga-8651-12702,1-179071,0.0524899996817112
manga-7963-12702,1-179071,0.0524899996817112
manga-7963-3703,1-179173,0.052639998495578766
manga-7968-9101,1-180172,0.04981999844312668
manga-7968-6101,1-180472,0.05090000107884407
manga-7968-12701,1-180513,0.0515500009059906
manga-7968-1902,1-180540,0.04975000023841858
manga-8617-3701,1-180614,0.050209999084472656
manga-8617-9101,1-180623,0.050999999046325684
manga-8617-6102,1-180886,0.049880001693964005
manga-10517-6104,1-182358,0.02151999995112419
manga-10518-1901,1-182525,0.022919999435544014
manga-10519-6103,1-182803,0.045830000191926956
manga-8156-1902,1-202091,0.025380000472068787
manga-11759-3701,1-207,0.0457100011408329
manga-12683-6101,1-212222,0.051589999347925186
manga-12682-6103,1-212392,0.0514100007712841
manga-12682-3703,1-212396,0.052480001002550125
manga-12682-1901,1-212462,0.05008000135421753
manga-12683-9102,1-212493,0.054099999368190765
manga-12683-3703,1-212496,0.05435999855399132
manga-12683-1901,1-212693,0.05375999957323074
